symbol,yfinance_symbol,name,sector,exchange
COCO,COCO,THE VITA COCO COMPANY INC,Consumer Staples,NASDAQ
ACHR,ACHR,ARCHER AVIATION INC CLASS A,Industrials,NYSE
CPK,CPK,CHESAPEAKE UTILITIES CORP,Utilities,NYSE
ARCB,ARCB,ARCBEST CORP,Industrials,NASDAQ
ARQT,ARQT,ARCUTIS BIOTHERAPEUTICS INC,Health Care,NASDAQ
AMBA,AMBA,AMBARELLA INC,Information Technology,NASDAQ
EXPO,EXPO,EXPONENT INC,Industrials,NASDAQ
HNI,HNI,HNI CORP,Industrials,NYSE
RLAY,RLAY,RELAY THERAPEUTICS INC,Health Care,NASDAQ
ASO,ASO,ACADEMY SPORTS AND OUTDOORS INC,Consumer Discretionary,NASDAQ
AMRX,AMRX,AMNEAL PHARMACEUTICALS INC CLASS A,Health Care,NASDAQ
HNGE,HNGE,HINGE HEALTH INC CLASS A,Health Care,NYSE
BKU,BKU,BANKUNITED INC,Financials,NYSE
RRR,RRR,RED ROCK RESORTS ORS CLASS A INC,Consumer Discretionary,NASDAQ
CENX,CENX,CENTURY ALUMINUM,Materials,NASDAQ
MSGE,MSGE,MADISON SQUARE GARDEN ENTERTAINMEN,Communication,NYSE
WDFC,WDFC,WD-40,Consumer Staples,NASDAQ
BELFB,BELFB,BEL FUSE INC CLASS B,Information Technology,NASDAQ
FUL,FUL,HB FULLER,Materials,NYSE
KN,KN,KNOWLES CORP,Information Technology,NYSE
PFS,PFS,PROVIDENT FINANCIAL SERVICES INC,Financials,NYSE
CWT,CWT,CALIFORNIA WATER SERVICE GROUP,Utilities,NYSE
WK,WK,WORKIVA INC CLASS A,Information Technology,NYSE
AKR,AKR,ACADIA REALTY TRUST REIT,Real Estate,NYSE
UNFI,UNFI,UNITED NATURAL FOODS INC,Consumer Staples,NYSE
VGNT,VGNT,VERSIGENT PLC,Consumer Discretionary,NYSE
DAN,DAN,DANA INCORPORATED INC,Consumer Discretionary,NYSE
CURB,CURB,CURBLINE PROPERTIES,Real Estate,NYSE
CLMT,CLMT,CALUMET INC,Energy,NASDAQ
CLDX,CLDX,CELLDEX THERAPEUTICS INC,Health Care,NASDAQ
IDYA,IDYA,IDEAYA BIOSCIENCES INC,Health Care,NASDAQ
MCY,MCY,MERCURY GENERAL CORP,Financials,NYSE
NHC,NHC,NATIONAL HEALTHCARE CORP,Health Care,NYSE American
MGEE,MGEE,MGE ENERGY INC,Utilities,NASDAQ
BOH,BOH,BANK OF HAWAII CORP,Financials,NYSE
UUUU,UUUU,ENERGY FUELS INC,Energy,NYSE American
GRAL,GRAL,GRAIL INC,Health Care,NASDAQ
UE,UE,URBAN EDGE PROPERTIES,Real Estate,NYSE
CLBK,CLBK,COLUMBIA FINANCIAL INC,Financials,NASDAQ
TDC,TDC,TERADATA CORP,Information Technology,NYSE
NTCT,NTCT,NETSCOUT SYSTEMS INC,Information Technology,NASDAQ
AXTI,AXTI,AXT INC,Information Technology,NASDAQ
EWTX,EWTX,EDGEWISE THERAPEUTICS INC,Health Care,NASDAQ
CXW,CXW,CORECIVIC REIT INC,Industrials,NYSE
CRGY,CRGY,CRESCENT ENERGY CLASS A,Energy,NYSE
VECO,VECO,VEECO INSTRUMENTS INC,Information Technology,NASDAQ
VC,VC,VISTEON CORP,Consumer Discretionary,NASDAQ
LBRT,LBRT,LIBERTY ENERGY INC CLASS A,Energy,NYSE
PRVA,PRVA,PRIVIA HEALTH GROUP INC,Health Care,NASDAQ
FRME,FRME,FIRST MERCHANTS CORP,Financials,NASDAQ
PLUG,PLUG,PLUG POWER INC,Industrials,NASDAQ
PK,PK,PARK HOTELS RESORTS INC,Real Estate,NYSE
MGRC,MGRC,MCGRATH RENT,Industrials,NASDAQ
BHE,BHE,BENCHMARK ELECTRONICS INC,Information Technology,NYSE
IBRX,IBRX,IMMUNITYBIO INC,Health Care,NASDAQ
AGYS,AGYS,AGILYSYS INC,Information Technology,NASDAQ
DBRG,DBRG,DIGITALBRIDGE GROUP INC CLASS A,Financials,NYSE
ADEA,ADEA,ADEIA INC,Information Technology,NASDAQ
DX,DX,DYNEX CAPITAL REIT INC,Financials,NYSE
ABM,ABM,ABM INDUSTRIES INC,Industrials,NYSE
FCPT,FCPT,FOUR CORNERS PROPERTY INC TRUST,Real Estate,NYSE
USAR,USAR,USA RARE EARTH INC CLASS A,Materials,NASDAQ
XRAY,XRAY,DENTSPLY SIRONA INC,Health Care,NASDAQ
SMR,SMR,NUSCALE POWER CORP CLASS A,Industrials,NYSE
GOLF,GOLF,ACUSHNET HOLDINGS CORP,Consumer Discretionary,NYSE
NAVN,NAVN,NAVAN INC CLASS A,Consumer Discretionary,NASDAQ
PHIN,PHIN,PHINIA INC,Consumer Discretionary,NYSE
MGNI,MGNI,MAGNITE INC,Communication,NASDAQ
TRN,TRN,TRINITY INDUSTRIES INC,Industrials,NYSE
SDRL,SDRL,SEADRILL LTD,Energy,NYSE
AEO,AEO,AMERICAN EAGLE OUTFITTERS INC,Consumer Discretionary,NYSE
SEI,SEI,SOLARIS OILFIELD INFRASTRUCTURE IN,Energy,NYSE
VAC,VAC,MARRIOTT VACATIONS WORLDWIDE CORP,Consumer Discretionary,NYSE
HUBG,HUBG,HUB GROUP INC CLASS A,Industrials,NASDAQ
DHT,DHT,DHT HOLDINGS INC,Energy,NYSE
NBTB,NBTB,NBT BANCORP INC,Financials,NASDAQ
CARG,CARG,CARGURUS INC CLASS A,Communication,NASDAQ
BCC,BCC,BOISE CASCADE,Industrials,NYSE
CBZ,CBZ,CBIZ INC,Industrials,NYSE
PATK,PATK,PATRICK INDUSTRIES INC,Consumer Discretionary,NASDAQ
HURN,HURN,HURON CONSULTING GROUP INC,Industrials,NASDAQ
WRBY,WRBY,WARBY PARKER INC CLASS A,Consumer Discretionary,NYSE
STNE,STNE,STONECO LTD CLASS A,Financials,NASDAQ
RSI,RSI,RUSH STREET INTERACTIVE INC CLASS,Consumer Discretionary,NYSE
DRH,DRH,DIAMONDROCK HOSPITALITY,Real Estate,NASDAQ
LION,LION,LIONSGATE STUDIOS CORP,Communication,NYSE
FBK,FBK,FB FINANCIAL CORP,Financials,NYSE
BTU,BTU,PEABODY ENERGY CORP,Energy,NYSE
BUSE,BUSE,FIRST BUSEY CORP,Financials,NASDAQ
